trial, dist, RT, interstim, NumberofLED
1, -45, 451, 539, 3
2, 15, 354, 582, 1
3, 0, 324, 389, 1
4, 15, 388, 349, 2
5, -15, 350, 773, 2
6, 15, 295, 678, 1
7, -45, 415, 312, 3
8, -30, 348, 587, 3
9, -15, 323, 527, 3
10, 30, 326, 444, 3
11, 15, 344, 448, 3
12, -15, 390, 460, 1
13, -30, 366, 397, 3
14, 45, 429, 678, 1
15, 0, 360, 477, 3
16, 0, 336, 696, 3
17, -15, 0, 444,2
18, -15, 0, 521,2
19, 30, 392, 791, 1
20, -15, 348, 506, 2
21, 45, 458, 367, 2
22, 45, 0, 708,3
23, -30, 429, 429, 1
24, -30, 373, 572, 3
25, -45, 403, 407, 3
26, 0, 392, 453, 1
27, 45, 351, 336, 1
28, -15, 0, 329,2
29, 30, 502, 640, 3
30, 45, 417, 477, 3
31, 0, 457, 387, 2
32, 15, 361, 443, 2
33, -45, 435, 447, 3
34, 0, 335, 656, 2
35, -45, 528, 791, 2
36, -15, 352, 661, 1
37, 0, 369, 591, 2
38, 30, 398, 433, 2
39, 45, 492, 650, 3
40, -15, 330, 463, 1
41, 30, 539, 322, 3
42, -15, 327, 384, 1
43, -45, 349, 510, 1
44, 15, 372, 481, 1
45, -15, 0, 482,2
46, -45, 758, 355, 2
47, -15, 384, 780, 2
48, -45, 0, 667,3
49, 45, 421, 642, 3
50, 30, 450, 619, 2
51, -15, 371, 666, 2
52, 0, 363, 538, 2
53, -30, 474, 344, 3
54, 45, 516, 408, 3
55, 45, 438, 339, 3
56, -45, 549, 405, 3
57, 45, 0, 303,1
58, 15, 714, 387, 3
59, -45, 432, 666, 3
60, -30, 417, 393, 1
61, 45, 401, 688, 1
62, 45, 405, 406, 1
63, 30, 699, 660, 2
64, 15, 431, 512, 1
65, 0, 404, 673, 2
66, 15, 421, 540, 1
67, 0, 447, 528, 3
68, 30, 0, 707,3
69, -15, 431, 644, 2
70, 30, 435, 370, 3
71, 0, 387, 382, 2
72, -15, 443, 545, 2
73, 0, 421, 669, 3
74, -45, 741, 396, 3
75, -45, 387, 337, 3
76, -45, 525, 755, 2
77, 30, 445, 387, 1
78, 15, 434, 675, 2
79, -45, 451, 592, 3
80, 45, 399, 759, 3
81, 45, 0, 356,2
82, -30, 452, 374, 2
83, 30, 413, 380, 1
84, 45, 555, 483, 2
85, 15, 402, 639, 1
86, -30, 406, 794, 1
87, 30, 468, 668, 2
88, 30, 425, 611, 1
89, 0, 326, 697, 1
90, 0, 351, 560, 2
91, -45, 579, 683, 3
92, -30, 537, 465, 2
93, -45, 451, 672, 2
94, -45, 393, 768, 1
95, 15, 410, 574, 3
96, 45, 0, 514,1
97, 15, 376, 584, 1
98, 0, 426, 760, 3
99, 0, 357, 383, 1
100, 0, 533, 561, 2
101, -30, 510, 767, 3
102, 45, 432, 796, 1
103, 45, 434, 795, 1
104, 45, 501, 378, 1
105, -15, 383, 713, 1
106, -15, 370, 627, 3
107, 45, 603, 552, 1
108, -30, 397, 426, 3
109, 0, 351, 743, 3
110, -30, 657, 582, 2
111, 15, 407, 594, 3
112, -15, 374, 712, 2
113, 0, 0, 623,2
114, 0, 370, 354, 1
115, 30, 594, 464, 2
116, 15, 481, 694, 3
117, -15, 390, 708, 3
118, -15, 448, 675, 2
119, 15, 397, 721, 1
120, -15, 321, 382, 1
121, -15, 374, 687, 2
122, 0, 425, 637, 3
123, 45, 464, 719, 1
124, -45, 381, 785, 1
125, 30, 515, 520, 2
126, -15, 378, 741, 3
127, 45, 472, 755, 3
128, -15, 363, 617, 1
129, 45, 414, 542, 3
130, -30, 527, 421, 2
131, 30, 475, 376, 3
132, 30, 561, 358, 3
133, -30, 441, 685, 3
134, 0, 414, 791, 1
135, -30, 536, 717, 2
136, -45, 365, 748, 1
137, 30, 0, 454,2
138, -30, 403, 634, 1
139, -45, 468, 341, 2
140, 45, 367, 597, 1
141, 30, 511, 495, 3
142, 0, 392, 655, 3
143, 15, 386, 517, 1
144, 15, 474, 532, 3
145, 30, 456, 498, 3
146, 45, 557, 598, 2
147, -30, 340, 566, 1
148, 15, 367, 625, 1
149, 45, 434, 405, 1
150, -30, 344, 525, 3
151, -30, 297, 767, 1
152, 0, 441, 588, 2
153, -15, 330, 771, 1
154, -45, 0, 631,2
155, -15, 0, 346,2
156, 30, 562, 689, 3
157, 15, 434, 557, 2
158, -45, 471, 427, 2
159, 45, 612, 480, 1
160, -15, 454, 348, 3
161, 0, 387, 641, 1
162, -15, 390, 623, 3
163, -30, 415, 638, 3
164, 30, 725, 537, 3
165, 15, 397, 549, 3
166, -45, 420, 748, 1
167, 15, 812, 782, 3
168, 45, 0, 452,2
169, -45, 549, 594, 1
170, -30, 465, 445, 3
171, 45, 529, 457, 3
172, 45, 699, 352, 2
173, -30, 754, 457, 2
174, -30, 609, 639, 2
175, -45, 451, 657, 1
176, -45, 405, 359, 1
177, 15, 438, 673, 1
178, 0, 395, 540, 3
179, 45, 383, 376, 1
180, -45, 390, 470, 1
181, 0, 468, 572, 2
182, -30, 342, 727, 1
183, -30, 452, 329, 1
184, 0, 396, 673, 2
185, 30, 369, 790, 1
186, -15, 472, 390, 2
187, 15, 479, 371, 3
188, 30, 398, 340, 1
189, 0, 362, 353, 1
190, -15, 441, 719, 3
191, 45, 385, 309, 1
192, 45, 439, 718, 3
193, -15, 497, 329, 2
194, 0, 352, 411, 1
195, 45, 546, 775, 2
196, 45, 493, 555, 2
197, -15, 496, 520, 3
198, 15, 403, 518, 1
199, 45, 608, 538, 2
200, 30, 452, 691, 2
201, 30, 376, 320, 1
202, 0, 410, 600, 3
203, -45, 478, 433, 3
204, -45, 433, 402, 3
205, 15, 433, 558, 1
206, 30, 664, 735, 2
207, 30, 481, 403, 2
208, 0, 420, 721, 3
209, -45, 0, 460,2
210, -45, 411, 618, 3
211, -15, 419, 335, 1
212, 30, 416, 524, 3
213, -15, 427, 423, 2
214, 0, 405, 667, 2
215, 15, 440, 691, 2
216, 15, 526, 317, 3
