trial, dist, RT, interstim, NumberofLED
1, 45, 0, 380, 3
2, 30, 479, 773, 2
3, -15, 453, 720, 1
4, -30, 518, 343, 2
5, -45, 546, 625, 2
6, 15, 0, 369, 3
7, 0, 396, 704, 1
8, 45, 733, 766, 1
9, 15, 694, 516, 3
10, 45, 574, 431, 1
11, 30, 440, 680, 1
12, 30, 471, 340, 1
13, 0, 0, 694,3
14, 30, 0, 520,2
15, 30, 0, 621,1
16, 45, 530, 543, 1
17, -15, 555, 667, 1
18, -30, 0, 750,3
19, -30, 0, 494, 3
20, -45, 659, 622, 1
21, 0, 587, 474, 2
22, 45, 572, 780, 2
23, 0, 425, 481, 1
24, 15, 389, 616, 2
25, 30, 484, 413, 2
26, 45, 0, 472,3
27, -45, 0, 555,3
28, -30, 509, 575, 1
29, -30, 565, 626, 2
30, 45, 461, 667, 1
31, 30, 381, 526, 1
32, -30, 508, 305, 2
33, 0, 0, 733,1
34, 15, 783, 406, 3
35, 0, 495, 518, 1
36, -45, 823, 423, 2
37, 45, 570, 615, 2
38, 30, 751, 577, 3
39, -15, 648, 422, 2
40, 45, 466, 689, 2
41, -15, 790, 320, 3
42, -30, 742, 566, 1
43, 45, 475, 456, 2
44, 15, 486, 647, 2
45, -30, 457, 678, 2
46, 15, 451, 550, 2
47, 15, 651, 614, 1
48, -45, 467, 700, 2
49, -15, 757, 336, 3
50, 15, 412, 604, 2
51, 30, 705, 492, 3
52, 15, 462, 371, 2
53, -15, 600, 375, 3
54, 15, 580, 349, 3
55, -45, 745, 383, 1
56, -30, 560, 448, 3
57, -30, 0, 688,2
58, 30, 538, 477, 2
59, 30, 503, 603, 2
60, -30, 542, 587, 2
61, 30, 531, 709, 1
62, -45, 522, 337, 3
63, 15, 644, 587, 1
64, -15, 585, 534, 2
65, -30, 625, 392, 2
66, -45, 549, 419, 3
67, -45, 596, 689, 1
68, 45, 701, 324, 3
69, 30, 603, 302, 1
70, 30, 693, 598, 1
71, 15, 989, 429, 1
72, 0, 0, 513, 2
73, -30, 622, 576, 1
74, -30, 0, 624,3
75, 0, 0, 759,3
76, -45, 518, 355, 1
77, 0, 618, 651, 1
78, 30, 569, 723, 2
79, -45, 764, 394, 2
80, -30, 556, 588, 1
81, 45, 857, 611, 3
82, 45, 712, 402, 3
83, -15, 697, 707, 3
84, 45, 571, 603, 2
85, -45, 931, 340, 2
86, -45, 658, 459, 3
87, -30, 595, 710, 3
88, 45, 578, 792, 2
89, 30, 530, 668, 2
90, 30, 757, 529, 1
91, 15, 471, 334, 2
92, 45, 754, 594, 3
93, -45, 750, 793, 3
94, -15, 726, 572, 1
95, 30, 641, 712, 3
96, 15, 644, 520, 3
97, -45, 633, 312, 3
98, 15, 953, 417, 1
99, 15, 563, 486, 2
100, -30, 569, 467, 3
101, -15, 566, 638, 3
102, 0, 508, 474, 2
103, -45, 0, 547, 2
104, -45, 963, 423, 1
105, -45, 0, 659,1
106, -45, 877, 417, 1
107, -30, 0, 309, 1
108, 0, 0, 565, 1
109, 30, 660, 427, 2
110, 15, 553, 554, 2
111, -15, 749, 349, 3
112, -45, 0, 748,2
