trial,dist,RT,interstim,NumberofLED
1,15,313,772,3
2,15,335,516,3
3,-30,431,647,3
4,-15,403,455,1
5,-15,442,531,3
6,30,411,428,2
7,-30,423,531,2
8,-30,374,768,3
9,45,265,322,1
10,-30,321,495,1
11,30,336,707,3
12,-15,422,525,3
13,15,349,678,2
14,15,333,541,2
15,45,501,659,2
16,-30,639,777,2
17,-45,456,573,1
18,30,402,504,1
19,-45,419,578,3
20,-45,414,672,2
21,-45,371,387,3
22,-30,453,367,3
23,15,552,610,2
24,-45,379,611,3
25,0,331,324,3
26,-15,374,766,1
27,45,321,682,1
28,-15,343,641,2
29,30,516,773,3
30,-15,342,302,3
31,-45,551,412,3
32,-15,385,474,1
33,0,312,697,1
34,-15,305,688,2
35,-30,424,364,2
36,30,331,370,1
37,15,324,406,3
38,-30,374,409,1
39,15,424,479,2
40,45,413,455,3
41,-30,402,565,3
42,30,436,368,2
43,30,344,454,1
44,45,346,677,1
45,30,315,412,3
46,0,297,328,3
47,15,312,440,2
48,15,316,680,1
49,15,356,782,2
50,30,323,454,3
51,30,319,702,1
52,0,304,373,2
53,-30,428,361,2
54,15,424,308,2
55,30,393,511,1
56,-15,445,576,1
57,-45,0,728,2
58,-45,433,771,1
59,15,435,662,3
60,-15,427,512,2
61,15,394,503,2
62,0,349,661,2
63,30,393,518,1
64,-30,534,387,2
65,-30,635,652,1
66,15,346,668,1
67,30,291,314,2
68,-30,665,393,1
69,-30,296,537,2
70,-30,323,777,3
71,-30,311,550,3
72,30,342,740,2
73,45,420,758,2
74,0,321,651,2
75,0,438,698,1
76,45,352,727,3
77,-45,514,768,2
78,15,358,329,3
79,0,353,575,2
80,45,414,727,1
81,45,522,463,1
82,0,307,727,1
83,30,294,515,2
84,30,326,409,2
85,15,378,722,3
86,15,0,409,2
87,-45,441,393,2
88,15,323,646,2
89,-30,386,413,2
90,15,334,637,3
91,30,400,341,1
92,0,0,317,2
93,-15,350,768,1
94,15,434,494,1
95,-15,314,321,3
96,30,362,723,3
97,30,423,327,2
98,-45,437,637,1
99,-45,375,372,3
100,15,352,397,1
101,45,319,666,3
102,30,513,413,3
103,-45,452,633,2
104,30,344,706,2
105,30,399,348,1
106,45,411,656,1
107,0,316,532,2
108,15,322,556,1
109,45,438,486,2
110,-45,429,641,3
111,45,314,546,2
112,30,467,743,1
113,30,374,563,3
114,-30,369,358,2
115,30,452,546,3
116,30,416,489,2
117,0,337,311,1
118,45,451,586,1
119,-45,494,792,2
120,30,343,755,3
121,30,495,489,2
122,-30,436,520,3
123,-45,464,628,1
124,15,414,354,3
125,0,356,570,3
126,0,301,601,1
127,-30,498,507,1
128,-15,393,606,3
129,-45,561,714,1
130,30,556,772,1
131,0,376,392,2
132,0,399,340,3
133,30,0,361,2
134,30,323,696,2
135,30,344,562,2
136,-30,413,361,1
137,0,357,549,1
138,-15,471,576,3
139,-30,488,544,1
140,30,586,313,2
141,-15,354,715,3
142,45,412,752,3
143,15,327,417,2
144,-15,424,625,2
145,-15,364,610,2
146,45,357,524,3
147,0,474,697,1
148,0,335,357,2
149,-30,519,696,3
150,-15,0,566,3
151,15,341,785,1
152,0,494,675,2
153,45,373,717,3
154,15,314,783,1
155,0,347,586,3
156,15,432,427,3
157,30,374,748,3
158,15,332,707,2
159,0,333,698,1
160,-15,449,441,3
161,-45,553,356,3
162,15,426,585,3
163,15,451,613,2
164,0,463,587,1
165,30,377,521,1
166,45,346,572,3
167,-45,473,577,3
168,-30,363,617,3
169,45,438,554,1
170,-45,495,652,2
171,15,334,586,2
172,45,527,359,3
173,15,383,457,2
174,45,0,602,3
175,45,0,334,3
176,0,381,312,2
177,-45,347,363,1
178,-30,488,350,3
179,0,484,342,3
180,-30,526,302,3
181,15,361,428,1
182,-30,578,579,2
183,-45,479,510,2
184,30,414,502,2
185,-30,369,544,1
186,-30,374,358,3
187,0,314,319,2
188,45,413,592,2
189,45,379,395,1
190,15,392,358,2
191,-45,384,391,3
192,45,376,710,2
193,0,367,477,2
194,-30,422,439,3
195,-15,302,699,2
196,15,553,592,3
197,30,513,465,1
198,15,332,526,2
199,45,334,629,2
200,30,394,573,3
201,15,583,404,3
202,-15,393,783,1
203,30,369,548,2
204,-15,514,648,2
205,15,383,445,3
206,-30,467,767,1
207,0,0,503,2
208,15,399,351,1
