trial,dist,RT,interstim,NumberofLED
1,-15,305,669,3
2,45,274,628,1
3,0,478,761,1
4,30,306,311,3
5,-45,0,528,3
6,30,276,392,1
7,30,331,767,3
8,0,280,683,3
9,-45,436,755,3
10,-15,299,791,1
11,0,265,624,1
12,30,280,755,1
13,-15,311,628,3
14,45,233,717,1
15,45,350,792,3
16,45,318,364,1
17,0,260,729,1
18,-30,248,470,1
19,-30,298,707,3
20,30,306,739,3
21,0,329,440,1
22,-45,323,752,3
23,-45,390,331,1
24,30,303,513,1
25,0,323,382,1
26,-15,416,686,3
27,-15,0,590,3
28,-45,301,672,1
29,-15,267,704,1
30,15,0,782,1
31,-15,273,720,1
32,-30,269,561,3
33,15,348,448,3
34,45,305,677,3
35,-15,288,359,1
36,0,301,384,1
37,-30,336,495,3
38,-15,280,374,1
39,-30,274,568,1
40,45,276,580,1
41,15,314,546,3
42,30,447,665,3
43,30,273,332,1
44,0,324,798,3
45,-15,457,304,3
46,0,295,600,1
47,-30,294,379,3
48,30,276,315,1
49,15,219,499,1
50,45,395,732,1
51,-45,335,472,3
52,45,491,602,1
53,45,411,590,3
54,45,310,517,1
55,-45,280,364,3
56,-15,268,311,1
57,0,315,748,3
58,30,420,587,3
59,45,339,597,1
60,0,328,792,3
61,-30,374,634,3
62,-15,442,568,3
63,15,445,333,3
64,-15,287,346,1
65,0,347,385,3
66,-45,258,573,1
67,0,301,758,3
68,-45,362,496,3
69,0,290,605,3
70,0,292,431,1
71,30,312,508,1
72,-30,0,390,3
73,45,288,305,3
74,0,279,499,3
75,15,256,713,1
76,-15,329,797,3
77,45,0,781,1
78,0,297,315,3
79,-15,346,515,3
80,30,273,729,3
81,15,271,443,3
82,-30,241,330,1
83,15,216,490,3
84,30,339,688,1
85,-45,287,569,1
86,-15,545,618,1
87,30,353,312,1
88,-30,289,336,1
89,15,266,311,3
90,-30,216,667,1
91,45,302,571,1
92,0,352,477,3
93,-45,282,702,3
94,-45,381,593,3
95,-15,328,435,3
96,-15,306,573,1
97,-15,493,666,3
98,-15,488,312,3
99,-45,420,526,3
100,-15,313,662,3
101,-45,0,776,1
102,-45,321,357,3
103,45,297,508,1
104,45,301,728,1
105,15,264,493,3
106,-15,306,306,1
107,-45,0,604,1
108,0,233,759,1
109,15,262,779,1
110,15,313,521,3
111,-15,250,723,1
112,-45,267,692,3
113,-45,339,308,3
114,0,0,703,3
115,-30,0,505,3
116,45,320,619,3
117,-15,333,595,1
118,-45,264,762,1
119,-30,0,498,3
120,45,266,475,3
121,-30,375,332,3
122,-45,273,481,3
123,-15,249,421,1
124,-15,310,383,3
125,-15,281,609,3
126,0,322,643,3
127,0,258,771,1
128,-45,0,773,1
129,45,298,337,3
130,45,423,662,3
131,-45,367,556,1
132,-15,350,698,1
133,15,0,503,1
134,15,219,658,1
135,-15,404,454,3
136,-15,287,683,3
137,-45,360,440,1
138,15,295,701,1
139,-30,298,541,1
140,-15,343,429,1
141,-45,0,367,3
142,-30,300,783,1
143,-15,326,515,1
144,45,330,658,3
145,-45,420,713,3
146,30,285,758,1
147,-15,249,368,3
148,-45,329,746,3
149,30,250,684,1
150,15,327,576,3
151,0,278,429,1
152,0,300,316,1
153,-30,356,382,1
154,-15,320,578,1
155,15,282,512,3
156,-30,0,592,3
157,45,373,700,1
158,-15,324,754,1
159,-15,512,392,3
160,45,342,304,3
161,15,356,534,1
162,45,535,704,1
163,15,263,730,3
164,45,357,647,3
165,45,313,529,3
166,-15,370,337,1
167,-45,301,752,1
168,45,374,541,1
169,30,243,588,1
170,-45,331,437,3
171,0,435,560,3
172,-30,0,620,3
173,45,358,479,1
174,-15,315,334,3
175,15,292,794,1
176,-30,362,773,1
177,15,241,523,1
178,-30,239,348,1
179,-30,260,377,1
180,15,274,793,3
181,-45,248,600,1
182,15,243,439,3
183,45,331,661,1
184,-30,347,590,3
185,30,294,485,1
186,30,260,479,1
187,45,278,639,1
188,45,0,474,3
189,15,372,503,1
190,-45,300,413,1
191,45,306,695,1
192,-45,305,340,3
193,-45,392,302,3
194,30,309,771,1
195,-15,328,339,3
196,0,309,641,3
197,-15,265,575,1
198,-30,282,711,1
199,45,367,510,3
200,-15,228,658,1
201,-45,390,462,1
202,0,258,567,1
203,-30,295,342,1
204,15,719,736,1
205,30,346,590,1
206,15,302,767,1
207,30,512,540,1
208,-45,290,675,3
209,-30,241,781,1
210,30,240,657,1
211,15,643,328,1
212,45,232,792,1
213,-30,255,314,1
214,45,358,449,3
215,-15,0,727,3
216,0,336,406,1
217,-15,251,790,1
