trial,dist,RT,interstim,NumberofLED
1,30,291,416,3
2,-30,199,585,1
3,45,359,726,3
4,0,330,678,3
5,30,498,362,1
6,30,442,329,1
7,30,269,464,3
8,45,266,770,3
9,-30,432,364,3
10,-30,428,545,3
11,30,315,750,3
12,15,421,637,1
13,-45,323,621,3
14,-15,270,624,1
15,30,275,744,3
16,30,643,637,3
17,45,431,469,1
18,-30,333,551,1
19,-15,432,692,3
20,-30,331,339,1
21,45,478,531,3
22,-45,544,735,3
23,-15,786,688,3
24,-45,0,451,3
25,45,334,672,3
26,15,377,335,3
27,-30,366,716,3
28,0,472,504,3
29,-45,489,745,1
30,15,391,514,1
31,0,323,763,1
32,15,0,735,1
33,0,277,505,3
34,0,364,431,3
35,-15,477,717,1
36,-45,335,443,1
37,15,499,798,3
38,-45,506,606,3
39,-15,403,558,1
40,15,382,535,3
41,0,398,384,3
42,-30,254,783,1
43,-45,356,475,1
44,30,247,590,3
45,45,252,798,3
46,-45,247,779,1
47,30,309,338,3
48,45,296,301,3
49,-15,357,559,3
50,45,485,476,1
51,30,324,753,1
52,15,401,729,3
53,45,0,471,1
54,30,331,547,3
55,45,377,469,3
56,30,331,359,1
57,30,311,751,1
58,-30,399,303,1
59,15,310,335,3
60,0,346,365,3
61,-45,0,587,3
62,0,335,662,1
63,-30,390,679,3
64,-15,437,762,3
65,30,378,776,1
66,0,426,786,1
67,45,593,351,1
68,30,378,583,1
69,45,559,679,3
70,15,386,734,3
71,45,371,771,3
72,-30,298,547,1
73,0,338,349,1
74,-15,0,709,3
75,-15,369,365,1
76,45,405,662,3
77,-45,526,689,3
78,0,370,366,3
79,30,0,764,1
80,-45,407,699,1
81,0,410,595,1
82,15,362,704,3
83,30,404,398,1
84,15,307,715,3
85,30,344,313,3
86,-15,331,740,1
87,0,306,626,1
88,15,327,553,3
89,45,384,340,1
90,-30,417,477,3
91,-45,365,477,1
92,-15,318,374,1
93,-30,507,382,1
94,-15,370,713,3
95,15,330,385,3
96,45,479,506,3
97,45,0,574,1
98,15,955,674,3
99,0,344,793,1
100,0,315,424,3
101,-15,414,609,1
102,45,457,458,3
103,15,367,524,1
104,-45,370,328,3
105,15,312,504,1
106,-30,320,516,1
107,-15,396,720,3
108,-15,256,632,1
109,-30,0,321,1
110,-45,413,476,3
111,-30,333,330,1
112,-30,360,587,3
113,30,0,342,1
114,15,597,652,1
115,-15,405,400,1
116,-45,555,498,3
117,30,390,729,1
118,-15,347,557,1
119,30,376,681,1
120,-15,330,495,3
121,30,398,795,1
122,-15,348,425,1
123,-45,383,614,3
124,15,518,437,1
125,30,389,721,1
126,45,0,698,1
127,0,331,507,1
128,-30,381,563,3
129,-15,398,794,3
130,15,394,765,3
131,-15,0,311,3
132,45,447,427,3
133,-15,335,476,1
134,-45,659,718,3
135,30,375,668,3
136,0,367,753,3
137,45,465,634,3
138,-15,462,679,3
139,-45,345,401,1
140,15,458,654,3
141,45,565,536,1
142,45,404,606,1
143,-45,345,612,3
144,30,349,498,3
145,-45,398,562,1
146,-45,560,493,3
147,15,368,729,1
148,15,325,475,1
149,15,321,494,3
150,-15,409,714,3
151,45,339,768,1
152,0,319,562,3
153,45,333,351,1
154,45,374,317,1
155,45,522,732,1
156,-30,345,416,1
157,-45,431,422,1
158,-45,379,623,3
159,-30,421,695,1
160,0,331,494,3
161,30,418,674,1
162,45,0,440,3
163,0,340,638,1
164,30,446,578,3
165,-45,308,640,1
166,-15,323,573,1
167,30,365,793,1
168,45,294,548,3
169,0,333,320,1
170,-45,367,462,1
171,-45,342,736,3
172,-30,310,343,3
173,30,322,407,3
174,-30,392,505,3
175,-30,400,310,1
176,-15,349,350,3
177,-45,317,552,1
178,-15,310,428,1
179,-45,351,351,1
180,30,412,696,1
181,0,322,574,3
182,-15,412,438,1
183,-15,344,628,1
184,0,451,507,1
185,0,276,443,1
186,-30,338,404,3
187,-30,409,412,3
188,-30,511,366,1
189,-30,292,728,1
190,-45,320,762,1
191,-30,478,705,3
192,-30,375,472,3
193,45,334,776,3
194,45,415,430,1
195,-45,517,502,3
196,30,380,780,3
197,-45,439,467,3
198,-30,435,737,3
199,15,444,793,3
200,-15,371,732,3
201,15,498,434,1
202,45,375,623,1
203,30,382,534,1
204,-45,478,641,1
205,15,308,635,3
206,15,296,795,1
207,45,340,426,3
208,30,415,560,3
209,-45,310,662,1
210,-15,389,609,1
211,-15,320,465,1
212,-15,323,385,1
