trial,dist,RT,interstim,NumberofLED
1,-45,0,467,1
2,30,426,458,3
3,-30,309,730,3
4,-45,276,326,1
5,-45,283,799,1
6,0,296,405,1
7,15,243,792,3
8,-15,270,579,1
9,-45,0,331,3
10,0,371,360,1
11,45,0,718,1
12,-30,328,493,1
13,45,395,511,3
14,0,387,476,1
15,-15,293,324,1
16,15,368,647,1
17,15,286,357,3
18,30,447,730,1
19,30,372,324,1
20,45,317,719,1
21,0,373,637,3
22,-45,338,353,1
23,45,413,421,3
24,30,359,428,3
25,15,257,684,3
26,0,283,553,1
27,30,362,423,3
28,-45,265,694,1
29,-45,405,678,3
30,15,398,468,3
31,30,359,764,3
32,-45,363,380,1
33,45,315,590,3
34,30,325,311,1
35,-45,257,465,1
36,45,0,720,1
37,-30,213,435,1
38,-30,434,638,3
39,0,302,635,1
40,0,296,725,1
41,-45,418,539,3
42,30,0,395,3
43,-15,275,356,3
44,30,300,678,1
45,-45,385,658,1
46,0,331,359,1
47,0,368,597,3
48,15,299,538,1
49,30,482,712,1
50,-15,340,562,1
51,-45,0,551,3
52,-15,357,627,3
53,15,341,489,1
54,-15,458,664,3
55,15,410,364,3
56,0,369,363,1
57,15,310,461,3
58,15,388,339,1
59,-30,316,766,3
60,45,429,371,1
61,-15,442,789,3
62,-45,289,703,1
63,30,285,454,3
64,0,289,462,3
65,30,0,499,1
66,-30,386,520,3
67,45,338,382,3
68,-45,0,656,3
69,45,235,529,3
70,-15,321,364,1
71,-45,465,574,1
72,-15,0,713,3
73,0,428,353,3
74,15,404,602,1
75,0,397,761,1
76,45,378,414,3
77,-30,285,771,1
78,0,348,744,1
79,0,394,703,1
80,-30,326,557,1
81,30,372,552,3
82,0,398,797,3
83,-15,371,396,1
84,30,477,499,1
85,15,412,411,1
86,45,486,769,1
87,-45,683,305,3
88,-45,354,569,3
89,0,373,700,1
90,-45,367,366,1
91,-45,0,598,3
92,-30,337,473,3
93,0,361,657,3
94,15,372,605,3
95,0,397,750,3
96,-45,311,643,1
97,45,321,635,3
98,-15,356,324,1
99,45,390,343,1
100,-45,354,347,1
101,0,335,695,1
102,45,489,658,3
103,-30,335,747,1
104,0,300,506,1
105,0,305,615,1
106,-45,298,560,1
107,-15,311,367,1
108,-45,288,548,1
109,0,287,565,1
110,0,0,603,3
111,0,348,381,1
112,-30,335,566,1
113,45,399,776,1
114,-45,543,373,3
115,30,586,346,3
116,-45,333,540,1
117,0,362,497,3
118,-30,0,388,3
119,45,398,396,3
120,30,362,430,1
121,-45,354,597,1
122,-45,396,660,1
123,0,363,791,3
124,-45,306,508,1
125,-15,0,317,3
126,-45,340,599,1
127,-45,475,484,3
128,0,346,745,1
129,30,0,696,1
130,15,332,357,1
131,0,337,401,1
132,-30,474,515,3
133,15,322,776,3
134,45,616,753,3
135,45,254,470,3
136,30,0,401,1
137,-15,403,530,1
138,15,315,648,3
139,-45,0,544,3
140,30,412,682,1
141,-30,303,636,3
142,-15,342,401,1
143,15,432,799,1
144,15,419,524,1
145,-45,523,436,1
146,-45,0,594,3
147,-15,405,613,3
148,30,319,738,1
149,15,290,649,1
150,-45,498,365,1
151,-30,474,766,3
152,30,775,707,1
153,15,333,764,3
154,15,351,624,1
155,-30,410,311,3
156,30,454,488,3
157,0,310,702,3
158,-15,598,316,1
159,0,349,479,1
160,-30,320,703,3
161,15,326,586,3
162,45,277,563,3
163,-45,309,643,1
164,45,410,717,1
165,15,371,639,1
166,45,383,328,3
167,30,307,348,3
168,-15,293,430,3
169,0,436,310,1
170,-45,482,773,1
171,15,320,478,3
172,-15,0,344,3
173,0,452,619,3
174,0,451,412,1
175,0,409,365,1
176,-15,333,425,3
177,-30,415,499,3
178,-15,348,590,1
179,30,405,753,3
180,0,306,523,1
181,45,301,358,3
182,30,0,570,1
183,30,0,695,1
184,0,384,496,3
185,45,0,767,3
186,15,293,568,1
187,0,281,633,3
188,45,334,704,3
189,-30,489,608,3
190,30,386,434,1
191,0,442,559,3
192,45,359,310,1
193,0,303,690,1
194,-30,456,327,3
195,-45,360,547,3
196,45,333,457,3
197,-30,344,530,3
198,15,277,426,3
199,-30,345,556,3
200,30,415,381,1
201,-45,428,720,1
202,-15,402,703,3
203,15,352,637,3
204,-30,323,635,1
205,-15,374,761,1
206,-30,553,570,3
207,45,459,760,1
208,-30,344,611,1
209,-45,475,710,3
210,-30,529,799,3
211,0,432,655,1
212,-45,427,386,1
213,0,379,316,1
214,45,409,319,1
215,0,336,664,3
216,-15,331,414,1
217,0,309,552,1
218,15,444,387,1
219,30,0,600,1
220,45,285,704,1
221,30,365,487,1
222,15,348,376,3
