trial,dist,RT,interstim,NumberofLED
1,0,228,675,1
2,15,291,270,1
3,30,258,575,1
4,45,222,528,1
5,45,238,330,1
6,45,268,557,1
7,0,257,579,1
8,45,272,327,1
9,45,240,408,1
10,45,252,692,1
11,30,231,339,1
12,15,266,543,1
13,45,222,555,1
14,45,221,446,1
15,-30,248,385,1
16,-30,237,700,1
17,30,255,525,1
18,30,218,638,1
19,-15,207,581,1
20,-45,251,583,1
21,15,280,409,1
22,-45,296,456,1
23,30,247,383,1
24,15,224,353,1
25,30,203,502,1
26,-45,201,530,1
27,15,268,366,1
28,30,254,723,1
29,-15,278,509,1
30,-45,260,487,1
31,30,240,512,1
32,45,269,489,1
33,0,248,381,1
34,30,258,703,1
35,30,226,372,1
36,30,266,391,1
37,-45,281,651,1
38,-45,284,647,1
39,45,242,630,1
40,-45,268,835,1
41,-30,230,407,1
42,45,248,763,1
43,-15,227,259,1
44,-15,205,772,1
45,30,268,443,1
46,45,239,365,1
47,-15,295,548,1
48,0,204,491,1
49,15,233,674,1
50,0,210,368,1
51,15,275,489,1
52,0,228,519,1
53,0,255,708,1
54,15,217,637,1
55,-15,264,463,1
56,-15,273,526,1
57,-30,203,356,1
58,45,240,853,1
59,-15,232,488,1
60,-30,240,473,1
61,30,234,705,1
62,15,242,689,1
63,15,218,253,1
64,0,200,677,1
65,-45,282,598,1
66,-45,285,745,1
67,-45,297,487,1
68,0,292,719,1
69,-30,224,296,1
70,-45,289,363,1
71,-45,281,539,1
72,-30,253,297,1
73,-45,287,627,1
74,-30,233,800,1
75,0,231,393,1
76,0,263,494,1
77,-30,263,678,1
78,-15,267,276,1
79,0,215,604,1
80,-45,201,525,1
81,45,214,595,1
82,0,237,850,1
83,30,223,675,1
84,-30,271,317,1
85,45,237,558,1
86,-45,286,469,1
87,-30,259,748,1
88,30,262,744,1
89,-45,221,270,1
90,-45,208,741,1
91,-15,215,509,1
92,0,265,719,1
93,0,277,768,1
94,-15,205,469,1
95,-45,280,706,1
96,-45,294,779,1
97,0,202,721,1
98,0,201,485,1
99,30,246,706,1
100,30,257,470,1
101,45,267,528,1
102,0,270,678,1
103,-15,207,466,1
104,0,287,395,1
105,-15,209,703,1
106,-45,250,835,1
107,-30,212,421,1
108,15,296,750,1
109,0,292,406,1
110,-15,279,545,1
111,-15,297,599,1
112,15,228,631,1
113,15,231,400,1
114,-30,233,482,1
115,0,259,583,1
116,30,207,360,1
117,-30,203,377,1
118,30,215,741,1
119,-30,249,709,1
115,-30,248,561,1
121,45,287,421,1
122,45,229,778,1
123,30,262,426,1
124,-15,221,429,1
125,15,216,551,1
126,30,289,376,1
127,-15,295,758,1
128,30,292,755,1
129,-45,277,420,1
130,-45,298,806,1
131,30,274,639,1
132,30,261,788,1
133,-15,259,349,1
134,0,238,540,1
135,15,256,306,1
136,-15,213,495,1
137,0,252,538,1
138,-30,297,485,1
139,-15,269,786,1
130,-45,278,426,1
141,-15,216,723,1
142,45,259,317,1
143,15,271,582,1
144,0,247,578,1
145,-15,262,328,1
146,45,237,780,1
147,30,299,360,1
148,-15,276,703,1
149,45,222,448,1
150,30,267,732,1
151,-45,233,437,1
152,-15,217,828,1
153,15,205,305,1
154,-45,285,515,1
155,-45,297,384,1
156,-45,290,729,1
157,45,228,556,1
158,-15,213,617,1
159,-30,208,449,1
145,-15,286,837,1
161,0,203,468,1
162,-15,250,663,1
163,45,277,500,1
164,0,250,373,1
165,30,227,749,1
166,30,295,569,1
167,-30,243,460,1
168,-45,203,629,1
169,-45,263,648,1
170,-45,216,553,1
171,-45,246,483,1
172,-30,224,423,1
173,-45,296,490,1
174,-30,253,776,1
175,-15,283,395,1
176,45,215,772,1
177,15,244,546,1
178,-45,237,532,1
179,15,281,721,1
180,-15,205,806,1
181,15,210,424,1
182,-45,255,722,1
183,-15,229,633,1
184,15,216,727,1
185,30,234,367,1
186,0,231,445,1
187,45,268,754,1
188,-30,211,605,1
189,15,290,641,1
190,-45,283,564,1
191,0,202,311,1
192,-30,286,251,1
193,-15,247,655,1
194,30,223,517,1
195,-15,246,648,1
196,30,216,500,1
197,30,277,264,1
198,45,233,744,1
199,0,260,763,1
200,15,290,727,1
