trial, dist, RT, interstim, NumberofLED
1,0,530,635,3
2,0,396,595,2
3,30,446,327,1
4,-45,511,379,3
5,-30,501,668,3
6,-45,428,557,3
7,30,370,715,2
8,45,423,379,2
9,-30,400,326,2
10,-45,367,582,2
11,15,397,489,2
12,-15,483,642,3
13,-30,476,663,1
14,45,552,696,2
15,0,419,541,1
16,-45,460,762,2
17,15,416,700,2
18,-15,441,394,3
19,-45,387,525,1
20,15,457,319,3
21,45,392,408,1
22,45,451,557,1
23,45,373,756,1
24,-30,407,402,1
25,-15,392,511,2
26,15,417,334,1
27,45,403,649,1
28,-30,400,520,1
29,-15,438,588,2
30,45,530,349,1
31,-30,472,622,2
32,-30,565,581,3
33,30,563,378,2
34,-15,555,424,3
35,-15,402,503,1
36,-30,531,333,2
37,0,391,618,1
38,15,575,314,3
39,0,477,784,2
40,0,417,753,2
41,15,443,308,2
42,-15,408,491,1
43,-45,622,352,2
44,-45,474,594,3
45,15,585,690,3
46,-45,505,726,1
47,45,535,716,2
48,30,0,613,3
49,-15,455,774,3
50,30,434,779,1
51,0,513,471,3
52,-30,475,735,1
53,15,459,348,1
54,45,514,555,3
55,-45,507,486,1
56,-15,494,715,3
57,-30,388,729,1
58,-30,346,744,1
59,15,422,504,3
60,-45,508,757,2
61,-45,595,498,3
62,-15,460,676,3
63,-45,488,755,1
64,30,0,744,3
65,-30,0,754,3
66,30,503,581,2
67,-45,501,776,3
68,45,452,527,1
69,-30,464,492,2
70,-15,392,589,1
71,45,445,514,2
72,30,375,485,2
73,15,611,412,3
74,15,434,396,1
75,30,491,786,3
76,-15,502,489,3
77,-45,415,720,1
78,0,333,680,1
79,-45,407,321,3
80,30,486,415,2
81,-45,604,721,3
82,30,477,308,2
83,-45,549,692,3
84,45,476,752,3
85,30,619,529,3
86,0,481,302,1
87,0,441,654,1
88,-15,391,430,3
89,-45,474,622,1
90,-30,468,458,2
91,-15,463,590,2
92,-15,359,457,2
93,45,503,582,3
94,-15,461,792,2
95,15,433,351,1
96,-15,395,448,1
97,45,454,669,1
98,0,355,784,1
99,-45,610,517,2
100,30,886,431,3
101,-30,524,458,2
102,30,382,398,1
103,15,443,773,2
104,45,427,581,3
105,45,564,457,2
106,30,450,782,1
107,0,416,578,1
108,-30,496,710,2
109,-15,413,462,1
110,-30,0,599,3
111,-30,0,557,3
112,0,452,460,2
113,-30,340,559,1
114,30,728,341,3
115,30,351,499,3
116,30,523,536,1
117,0,411,365,1
118,30,378,721,1
119,-45,544,517,2
120,-30,378,792,2
121,-30,0,570,3
122,-30,463,495,1
123,-45,845,606,3
124,-30,689,388,2
125,30,405,730,1
126,0,351,653,1
127,45,382,475,1
128,-30,364,708,1
129,45,376,407,1
130,0,420,311,1
131,30,335,566,1
132,0,284,786,1
133,-45,535,731,2
134,45,499,481,2
135,-15,383,543,1
136,30,561,684,3
137,0,429,781,3
138,-30,354,381,1
139,30,456,347,2
140,45,470,397,3
141,45,389,680,1
142,30,491,685,3
143,-15,439,585,1
144,45,437,764,1
145,45,473,444,3
146,0,397,770,1
147,-30,416,556,1
148,45,552,462,2
149,0,598,482,2
150,30,465,603,1
151,15,461,588,2
152,-45,910,723,3
153,-15,362,682,1
154,30,683,723,3
155,-30,469,797,1
156,30,433,481,1
157,45,546,561,2
158,-45,395,698,1
159,-30,619,301,3
160,30,409,499,1
161,0,414,745,3
162,-15,336,341,1
163,-30,602,464,2
164,30,623,383,3
165,30,443,416,3
166,-45,404,377,1
167,-45,433,621,3
168,45,515,730,2
169,-15,490,332,2
170,45,466,617,2
171,-45,395,440,2
172,-30,494,653,2
173,-15,430,590,3
174,0,402,648,3
175,30,443,446,1
176,-30,470,310,2
177,15,431,625,1
178,-45,405,377,1
179,45,555,775,2
180,45,494,430,2
181,-45,469,382,2
182,0,380,342,3
183,45,413,544,1
184,-30,492,691,2
185,-45,381,501,1
186,-30,461,568,2
187,15,437,506,3
188,45,598,300,3
189,15,476,416,3
190,30,491,614,2
191,-45,418,684,2
192,15,469,305,3
193,-45,414,752,3
194,0,360,523,1
195,-30,492,691,3
196,30,451,687,1
197,45,503,577,2
198,0,364,595,1
199,15,630,777,3
200,15,441,784,3
201,15,406,689,1
202,-30,396,725,3
203,-30,0,523,2
204,-30,580,553,2
205,0,407,400,3
206,45,597,694,2
207,45,0,343,3
208,15,476,740,2
