trial, dist, RT, interstim, NumberofLED
1, 45, 0, 652, 1
2, 15, 353, 435, 1
3, -30, 475, 544, 1
4, 45, 468, 595, 2
5, 15, 599, 598, 2
6, 45, 645, 798, 2
7, 30, 590, 491, 2
8, 30, 0, 531, 3
9, -30, 0, 364,3
10, -30, 479, 613, 3
11, 0, 453, 380, 3
12, 15, 497, 772, 2
13, -15, 659, 719, 1
14, 0, 0, 383,1
15, -30, 569, 343, 1
16, 45, 595, 563, 1
17, 0, 391, 538, 2
18, -15, 794, 432, 3
19, 15, 452, 616, 2
20, -30, 434, 779, 3
21, 30, 0, 674, 1
22, 45, 904, 331, 3
23, 0, 490, 720, 2
24, 45, 970, 384, 3
25, 45, 511, 520, 2
26, 0, 0, 510, 1
27, 15, 0, 796, 1
28, -30, 762, 346, 2
29, 30, 428, 646, 2
30, 30, 0, 492,1
31, -15, 641, 421, 3
32, 30, 0, 571, 1
33, -30, 528, 663, 3
34, -45, 0, 477, 1
35, 45, 0, 681, 2
36, -15, 576, 785, 2
37, 30, 0, 733,1
38, 0, 0, 594,3
39, -15, 584, 676, 2
40, -30, 611, 740, 1
41, -30, 621, 427, 3
42, -45, 0, 328,1
43, 0, 377, 592, 2
44, -15, 555, 446, 3
45, 45, 624, 497, 2
46, -15, 0, 413,1
47, -45, 518, 724, 1
48, 30, 609, 464, 3
49, 45, 518, 460, 2
50, 45, 558, 682, 3
51, -30, 717, 398, 1
52, -45, 634, 595, 2
53, -15, 581, 719, 1
54, -15, 631, 786, 3
55, -45, 611, 425, 1
56, 45, 477, 513, 2
57, 45, 735, 665, 3
58, 0, 906, 342, 3
59, -30, 431, 374, 1
60, 30, 640, 598, 1
61, 15, 550, 316, 2
62, 30, 431, 622, 1
63, -15, 410, 544, 1
64, -45, 0, 795,2
65, -15, 0, 393,2
66, 0, 387, 577, 1
67, -15, 504, 767, 1
68, 45, 538, 438, 1
69, -15, 484, 475, 2
70, -15, 576, 760, 2
71, -15, 0, 511,1
72, -45, 0, 614, 1
73, -30, 0, 785,3
74, 0, 0, 624, 3
75, -30, 0, 426,2
76, 30, 0, 393, 1
77, -45, 919, 427, 3
78, 0, 387, 424, 2
79, -30, 0, 668,2
80, 30, 0, 322, 1
81, 45, 621, 332, 2
82, 45, 679, 319, 3
83, 45, 636, 591, 3
84, -15, 549, 720, 3
85, -15, 0, 549,3
86, 45, 935, 710, 1
87, 15, 778, 733, 3
88, 30, 576, 633, 2
89, -15, 490, 393, 2
90, 15, 623, 489, 3
91, -45, 0, 507,2
92, 0, 530, 717, 1
93, -45, 476, 642, 2
94, -30, 469, 619, 2
95, -45, 0, 643,2
96, -15, 441, 437, 2
97, -45, 649, 594, 3
98, 0, 726, 548, 1
99, -45, 720, 345, 1
100, -45, 577, 620, 3
101, -45, 0, 367,2
102, 45, 484, 304, 2
103, -15, 0, 714,3
104, 45, 0, 331,3
105, 30, 624, 725, 1
106, 0, 494, 794, 1
107, -30, 523, 591, 1
108, -15, 512, 558, 1
109, 0, 787, 547, 2
110, 45, 488, 560, 2
111, -30, 0, 640,1
112, 30, 806, 326, 3
113, -45, 0, 757,3
114, -30, 542, 522, 2
115, -45, 511, 752, 3
116, 45, 422, 651, 1
117, 0, 553, 480, 3
118, -15, 436, 668, 3
119, 15, 483, 434, 3
120, 0, 430, 457, 3
121, -30, 597, 701, 3
122, 15, 459, 488, 3
123, 30, 844, 440, 2
124, -15, 820, 459, 1
125, -45, 573, 596, 2
126, 0, 446, 648, 2
127, 30, 768, 373, 1
128, -30, 521, 667, 1
129, 45, 437, 622, 2
130, -30, 629, 310, 2
131, 45, 541, 561, 2
132, 0, 753, 742, 1
133, -15, 476, 617, 2
134, 30, 516, 746, 2
135, -15, 439, 675, 1
136, 15, 541, 610, 2
137, -30, 693, 787, 2
138, -15, 677, 541, 1
139, 45, 639, 444, 1
140, 15, 392, 413, 1
141, 0, 586, 450, 3
142, 0, 564, 734, 1
143, -15, 883, 300, 3
144, 0, 788, 711, 1
145, 45, 625, 505, 3
146, -45, 426, 764, 1
147, 30, 519, 712, 1
148, 0, 410, 354, 1
149, 15, 905, 583, 3
150, -30, 0, 766,2
151, 15, 428, 332, 2
152, 30, 570, 343, 1
153, 30, 528, 532, 2
154, -45, 0, 577,3
155, 0, 0, 478,1
156, -45, 577, 713, 2
