trial,dist,RT,interstim,NumberofLED
1,-15,233,669,1
2,45,167,628,1
3,0,0,761,1
4,30,189,311,1
5,-45,180,528,1
6,30,203,392,1
7,30,92,767,1
8,0,226,683,1
9,-45,178,755,1
10,-15,324,791,1
11,0,257,624,1
12,30,176,755,1
13,-15,201,628,1
14,45,142,717,1
15,45,223,792,1
16,45,217,364,1
17,0,22,729,1
18,-30,201,470,1
19,-30,184,707,1
20,30,211,739,1
21,0,199,440,1
22,-45,177,752,1
23,-45,208,331,1
24,30,88,513,1
25,0,169,382,1
26,-15,185,686,1
27,-15,149,590,1
28,-45,158,672,1
29,-15,168,704,1
30,15,275,782,1
31,-15,20,720,1
32,-30,220,561,1
33,15,173,448,1
34,45,163,677,1
35,-15,235,359,1
36,0,256,384,1
37,-30,157,495,1
38,-15,205,374,1
39,-30,21,568,1
40,45,179,580,1
41,15,165,546,1
42,30,54,665,1
43,30,255,332,1
44,0,12,798,1
45,-15,234,304,1
46,0,168,600,1
47,-30,211,379,1
48,30,214,315,1
49,15,521,499,1
50,45,140,732,1
51,-45,250,472,1
52,45,334,602,1
53,45,213,590,1
54,45,213,517,1
55,-45,198,364,1
56,-15,299,311,1
57,0,91,748,1
58,30,179,587,1
59,45,207,597,1
60,0,308,792,1
61,-30,298,634,1
62,-15,218,568,1
63,15,208,333,1
64,-15,216,346,1
65,0,253,385,1
66,-45,47,573,1
67,0,0,758,1
68,-45,208,496,1
69,0,201,605,1
70,0,243,431,1
71,30,201,508,1
72,-30,281,390,1
73,45,216,305,1
74,0,221,499,1
75,15,164,713,1
76,-15,42,797,1
77,45,5,781,1
78,0,257,315,1
79,-15,222,515,1
80,30,33,729,1
81,15,91,443,1
82,-30,198,330,1
83,15,208,490,1
84,30,64,688,1
85,-45,66,569,1
86,-15,198,618,1
87,30,354,312,1
88,-30,203,336,1
89,15,228,311,1
90,-30,97,667,1
91,45,131,571,1
92,0,220,477,1
93,-45,60,702,1
94,-45,256,593,1
95,-15,278,435,1
96,-15,208,573,1
97,-15,67,666,1
98,-15,195,312,1
99,-45,201,526,1
100,-15,164,662,1
101,-45,25,776,1
102,-45,223,357,1
103,45,211,508,1
104,45,268,728,1
105,15,215,493,1
106,-15,191,306,1
107,-45,231,604,1
108,0,0,759,1
109,15,92,779,1
110,15,217,521,1
111,-15,0,723,1
112,-45,195,692,1
113,-45,205,308,1
114,0,336,703,1
115,-30,295,505,1
116,45,186,619,1
117,-15,633,595,1
118,-45,675,762,1
119,-30,215,498,1
120,45,203,475,1
121,-30,273,332,1
122,-45,179,481,1
123,-15,487,421,1
124,-15,214,383,1
125,-15,224,609,1
126,0,196,643,1
127,0,357,771,1
128,-45,517,773,1
129,45,286,337,1
130,45,157,662,1
131,-45,218,556,1
132,-15,0,698,1
133,15,211,503,1
134,15,918,658,1
135,-15,0,454,1
136,-15,14,683,1
137,-45,193,440,1
138,15,179,701,1
139,-30,215,541,1
140,-15,140,429,1
141,-45,190,367,1
142,-30,176,783,1
143,-15,274,515,1
144,45,92,658,1
145,-45,204,713,1
146,30,11,758,1
147,-15,471,368,1
148,-45,228,746,1
149,30,192,684,1
150,15,190,576,1
151,0,272,429,1
152,0,270,316,1
153,-30,233,382,1
154,-15,245,578,1
155,15,160,512,1
156,-30,219,592,1
157,45,140,700,1
158,-15,223,754,1
159,-15,245,392,1
160,45,275,304,1
161,15,210,534,1
162,45,170,704,1
163,15,64,730,1
164,45,112,647,1
165,45,158,529,1
166,-15,201,337,1
167,-45,0,752,1
168,45,267,541,1
169,30,191,588,1
170,-45,231,437,1
171,0,231,560,1
172,-30,194,620,1
173,45,223,479,1
174,-15,225,334,1
175,15,0,794,1
176,-30,193,773,1
177,15,200,523,1
178,-30,246,348,1
179,-30,398,377,1
180,15,207,793,1
181,-45,213,600,1
182,15,186,439,1
183,45,187,661,1
184,-30,213,590,1
185,30,225,485,1
186,30,213,479,1
187,45,216,639,1
188,45,208,474,1
189,15,67,503,1
190,-45,200,413,1
191,45,202,695,1
192,-45,243,340,1
193,-45,235,302,1
194,30,163,771,1
195,-15,265,339,1
196,0,250,641,1
197,-15,160,575,1
198,-30,169,711,1
199,45,161,510,1
200,-15,157,658,1
201,-45,218,462,1
202,0,187,567,1
203,-30,274,342,1
204,15,131,736,1
205,30,257,590,1
206,15,170,767,1
207,30,0,540,1
208,-45,735,675,1
209,-30,16,781,1
