1, 30, 0, 301, 3
2, -45, 0, 453, 1
3, 0, 587, 352, 3
4, 15, 393, 529, 3
5, 15, 396, 660, 1
6, -30, 287, 731, 1
7, 30, 244, 577, 3
8, -30, 383, 479, 3
9, 15, 126, 402, 3
10, 30, 0, 471,3
11, 30, 437, 530, 1
12, 30, 445, 494, 1
13, 0, 0, 337, 1
14, -30, 0, 336, 3
15, 0, 680, 359, 3
16, -15, 294, 631, 1
17, -45, 487, 602, 1
18, -45, 471, 562, 3
19, 0, 597, 351, 3
20, -15, 404, 769, 3
21, -30, 412, 346, 3
22, 45, 342, 705, 3
23, -15, 384, 412, 3
24, 0, 330, 415, 3
25, -45, 413, 671, 3
26, 15, 397, 767, 1
27, 30, 445, 536, 3
28, -45, 410, 357, 3
29, -30, 417, 383, 3
30, 30, 0, 585,3
31, -45, 291, 443, 1
32, -30, 382, 657, 1
33, -15, 363, 734, 3
34, 0, 338, 544, 1
35, 30, 321, 484, 3
36, 0, 405, 703, 3
37, -15, 438, 350, 1
38, 45, 478, 476, 3
39, 0, 338, 533, 1
40, 0, 528, 739, 3
41, 45, 351, 600, 3
42, -45, 309, 443, 1
43, -30, 394, 354, 1
44, 0, 412, 386, 3
45, -15, 385, 424, 3
46, 30, 340, 366, 3
47, -30, 366, 333, 3
48, -30, 323, 752, 1
49, 0, 321, 743, 1
50, 15, 467, 347, 1
51, -15, 293, 761, 1
52, 30, 390, 681, 3
53, 15, 324, 595, 1
54, -30, 0, 433,3
55, 30, 455, 675, 1
56, 0, 253, 789, 1
57, 0, 371, 345, 1
58, 0, 520, 718, 3
59, 45, 0, 635,1
60, -45, 273, 564, 1
61, -30, 432, 717, 1
62, -30, 642, 513, 1
63, 0, 513, 781, 3
64, 15, 308, 353, 1
65, 0, 398, 450, 3
66, 0, 349, 374, 3
67, 0, 248, 579, 3
68, 45, 730, 768, 1
69, -45, 454, 437, 3
70, -15, 782, 550, 1
71, 0, 191, 794, 3
72, -45, 414, 349, 1
73, 15, 0, 706,3
74, 15, 498, 499, 1
75, -30, 627, 450, 3
76, -30, 0, 525,3
77, -45, 720, 672, 3
78, -45, 494, 462, 3
79, -30, 348, 512, 1
80, 0, 315, 486, 1
81, 0, 628, 710, 1
82, 15, 386, 479, 3
83, 15, 294, 794, 1
84, -15, 309, 302, 1
85, 15, 677, 470, 1
86, -30, 460, 712, 1
87, 30, 0, 303,3
88, 30, 408, 676, 1
89, 30, 431, 661, 1
90, 15, 354, 662, 3
91, -30, 488, 344, 1
92, 30, 398, 715, 1
93, -30, 411, 796, 3
94, -45, 535, 522, 3
95, -45, 425, 374, 1
96, -30, 400, 722, 3
97, 45, 573, 652, 3
98, 0, 540, 304, 1
99, 45, 421, 680, 1
100, -15, 297, 639, 1
101, -15, 416, 503, 1
102, 30, 0, 778,3
103, 45, 323, 510, 1
104, -30, 343, 470, 1
105, -30, 330, 536, 1
106, -15, 422, 421, 1
107, -15, 697, 796, 3
108, 15, 637, 629, 1
109, 45, 571, 587, 1
110, -15, 578, 351, 1
111, 30, 648, 469, 3
112, -15, 678, 513, 3
113, -45, 474, 741, 1
114, 0, 0, 357,3
115, -15, 476, 496, 1
116, -15, 354, 788, 1
117, -45, 434, 431, 1
118, 45, 326, 378, 1
119, 0, 529, 383, 3
120, -45, 421, 611, 1
121, -30, 0, 760,1
122, -30, 0, 401,3
123, 30, 435, 375, 1
124, 15, 440, 698, 1
125, -45, 0, 597, 3
126, 30, 882, 626, 3
127, 45, 391, 406, 1
128, 45, 0, 653, 3
129, 45, 0, 625,3
130, -45, 559, 584, 1
131, -30, 519, 557, 1
132, 30, 0, 474,3
133, 30, 464, 577, 1
134, 0, 0, 617,3
135, 15, 610, 330, 1
136, 30, 498, 469, 1
137, 45, 340, 479, 1
138, 45, 683, 338, 3
139, 45, 0, 519, 3
140, 45, 501, 466, 3
141, -45, 0, 658,1
142, -45, 873, 543, 1
143, 0, 0, 692,1
144, 30, 0, 644,3
145, 45, 0, 440,1
146, -30, 0, 682, 1
147, -15, 440, 511, 3
148, 45, 460, 600, 1
149, 0, 0, 639,3
150, 45, 0, 484,3
151, 0, 0, 427,1
152, -15, 565, 465, 1
153, 0, 0, 723, 1
154, -30, 642, 747, 1
155, 30, 434, 554, 1
156, 30, 0, 661,3
157, -30, 915, 705, 3
158, -30, 732, 757, 3
159, 30, 703, 390, 3
160, 0, 359, 351, 3
161, -45, 443, 739, 1
162, -30, 643, 702, 3
163, -30, 660, 627, 3
164, -15, 739, 300, 3
165, 30, 385, 601, 3
166, 45, 392, 529, 3
167, -15, 466, 411, 1
168, -30, 451, 580, 1
169, 45, 453, 321, 1
170, 45, 0, 445,3
171, -15, 0, 709, 3
172, -15, 0, 425, 1
173, 0, 93, 428, 1
174, 0, 830, 780, 1
175, -30, 0, 479, 1
176, -30, 322, 441, 1
177, 45, 724, 312, 3
178, 15, 546, 307, 1
179, 45, 0, 514,3
180, -30, 440, 550, 3
181, 0, 607, 620, 3
182, 15, 382, 706, 3
183, -15, 296, 796, 3
184, -15, 288, 667, 3
185, 45, 514, 384, 1
186, -15, 503, 318, 3
187, -45, 542, 393, 1
188, 45, 451, 752, 1
189, 0, 0, 512,3
190, -30, 352, 524, 3
191, 30, 562, 445, 3
192, 30, 464, 631, 1
193, 30, 601, 721, 3
194, 45, 393, 675, 1
195, 15, 0, 369,1
196, -15, 0, 322,3
197, -45, 0, 627, 3
198, -45, 0, 334, 3
199, 45, 0, 490, 3
200, 15, 524, 406, 1
201, 30, 427, 381, 1
202, 30, 463, 464, 1
203, 0, 655, 580, 3
204, 30, 0, 594,3
205, 0, 435, 507, 3
206, 15, 445, 382, 3
207, 0, 341, 478, 3
208, 0, 452, 499, 3
209, 45, 496, 617, 1
210, 0, 361, 527, 3
211, 45, 579, 322, 3
212, 45, 418, 446, 3
213, -30, 333, 445, 3
214, 30, 480, 613, 1
215, 30, 0, 688,3
216, 0, 314, 447, 1
217, -45, 0, 782, 1
218, -30, 527, 699, 3
219, 30, 372, 576, 1
220, -30, 324, 599, 3
221, 0, 266, 713, 1
222, 15, 0, 340,1
223, -30, 467, 772, 1
224, -15, 370, 681, 1
225, 45, 342, 501, 1
226, -45, 411, 447, 1
227, -45, 363, 625, 1
228, -15, 451, 728, 1
229, -45, 472, 310, 1
230, 0, 302, 426, 1
231, -45, 368, 743, 3
232, 30, 335, 678, 1
233, 15, 296, 653, 1
234, 15, 0, 793,3
235, 0, 0, 617,3
236, 0, 0, 537,1
237, -45, 689, 724, 3
238, 45, 488, 479, 1
239, -30, 586, 374, 1
240, 15, 513, 799, 3
241, -15, 0, 715,3
242, -45, 676, 683, 3
243, 0, 473, 417, 1
244, 45, 733, 355, 3
245, 15, 684, 708, 3
246, 15, 584, 324, 3
247, 45, 445, 712, 3
248, -30, 510, 443, 1
249, 45, 903, 519, 3
250, 30, 573, 564, 3
