trial, dist, RT, interstim, NumberofLED
1,0,371,749,1
2,-45,314,764,3
3,30,410,415,3
4,15,350,503,1
5,45,412,358,1
6,-15,325,416,1
7,15,331,748,1
8,-45,344,570,3
9,45,344,652,1
10,45,391,344,1
11,-30,385,389,1
12,0,291,676,1
13,-15,327,474,1
14,15,290,691,3
15,-15,424,533,1
16,45,321,752,3
17,-45,418,588,1
18,-15,303,553,3
19,45,278,714,1
20,-45,306,417,3
21,30,312,558,3
22,45,367,605,1
23,45,298,563,3
24,-45,325,621,3
25,45,304,781,1
26,0,374,315,1
27,-45,314,352,3
28,-30,291,561,3
29,45,369,328,1
30,0,364,363,3
31,0,344,498,3
32,0,298,698,1
33,45,301,663,3
34,15,286,565,3
35,-30,341,745,3
36,-45,383,402,1
37,-45,319,559,3
38,-15,461,629,3
39,-45,297,407,3
40,45,374,551,3
41,30,460,681,3
42,45,429,360,1
43,-15,352,784,3
44,-30,386,371,1
45,15,383,707,1
46,-30,383,368,1
47,-30,343,411,1
48,45,309,481,3
49,0,292,712,3
50,-30,360,490,1
51,-30,309,768,1
52,-45,372,726,3
53,-45,330,426,1
54,15,335,660,3
55,15,309,465,3
56,0,313,756,3
57,0,280,667,3
58,-15,360,738,1
59,-15,266,692,1
60,-15,262,575,1
61,15,300,621,3
62,-15,396,460,1
63,30,468,600,1
64,45,405,790,3
65,-30,409,577,1
66,-45,350,502,1
67,0,322,487,1
68,45,387,470,1
69,0,370,582,3
70,45,315,508,3
71,15,345,473,1
72,15,253,611,1
73,15,329,381,1
74,45,247,646,3
75,45,266,629,3
76,0,341,367,1
77,30,434,685,1
78,15,357,506,1
79,0,315,684,1
80,45,359,798,1
81,-30,520,434,3
82,-30,420,526,1
83,-15,283,750,3
84,-30,344,767,1
85,-45,379,498,1
86,15,390,353,3
87,30,354,716,3
88,45,321,686,3
89,-30,414,333,3
90,30,315,478,3
91,-45,392,430,1
92,15,398,469,1
93,-15,293,584,3
94,0,327,592,1
95,0,316,312,3
96,-45,318,416,3
97,45,378,778,1
98,-45,312,395,3
99,-15,353,764,1
100,30,398,428,3
101,30,321,770,1
102,-45,334,483,3
103,15,407,366,1
104,45,273,377,3
105,-45,419,424,1
106,45,0,520,1
107,45,294,687,3
108,-15,404,537,3
109,0,343,755,3
110,-45,387,346,3
111,-30,446,588,1
112,15,288,421,3
113,-45,408,567,3
114,0,310,588,3
115,45,354,762,1
116,-45,351,718,1
117,-15,383,435,3
118,45,360,655,1
119,30,347,431,3
120,-30,359,462,3
121,-30,453,402,1
122,15,325,634,1
123,30,487,453,3
124,0,345,700,1
125,-45,415,432,3
126,15,413,424,3
127,-30,380,329,1
128,15,370,620,1
129,45,339,307,3
130,30,321,717,3
131,45,371,485,1
132,45,307,638,3
133,-45,456,791,1
134,0,412,629,3
135,15,313,747,3
136,30,330,795,3
137,30,459,567,3
138,15,324,323,3
139,-45,285,339,1
140,-15,342,492,1
141,45,388,668,1
142,30,443,580,3
143,-30,385,634,3
144,-15,368,476,3
145,45,413,354,1
146,0,436,318,1
147,-30,367,549,1
148,0,337,381,3
149,15,346,498,1
150,30,353,493,1
151,45,411,321,3
152,30,355,615,1
153,45,384,308,3
154,-30,286,780,1
155,30,319,617,3
156,45,346,588,3
157,-45,388,389,3
158,0,287,585,3
159,-45,334,784,1
160,45,379,598,3
161,30,401,723,3
162,0,317,699,1
163,-45,369,502,1
164,0,315,309,1
165,-15,389,709,1
166,0,408,611,3
167,0,314,370,3
168,-30,329,315,1
169,15,285,641,3
170,30,328,560,3
171,-45,304,756,1
172,45,392,706,1
173,-30,329,631,3
174,15,398,302,1
175,45,479,536,1
176,30,412,546,1
177,-15,317,672,1
178,-45,358,525,1
179,30,325,543,1
180,-30,364,362,1
181,-45,275,797,3
182,15,367,533,1
183,0,518,322,3
184,-45,418,312,3
185,30,395,306,1
186,0,358,753,3
187,30,382,627,3
188,0,458,669,3
189,0,378,452,1
190,45,399,617,1
191,15,385,673,1
192,-15,363,641,1
193,45,404,320,3
194,45,468,531,1
195,-15,380,414,1
196,-30,374,417,3
197,-45,425,705,1
198,30,340,798,3
199,45,440,313,3
200,15,321,631,1
201,45,367,583,3
